PAP2D,-1.24016666666667,-1.71233333333333,-1.681,-1.7015,-1.28366666666667,-1.34133333333333,-1.37966666666667,-1.09366666666667,-1.0845,-1.14733333333333,-1.7395,-1.51466666666667,-1.2236,-1.5185,-0.657166666666667,-0.824166666666667
SDCCAG1,-0.767625,0.024,-1.009125,-0.574875,1.634875,0.41325,-0.36425,-0.580375,-0.4325,-0.3055,-0.768375,-0.78225,-0.61825,-0.559375,-0.775625,-0.614875
C10orf95,1.82775,-0.51025,0.00799999999999999,0.67325,-0.7295,-1.518,0.18025,-0.41775,0.33025,-0.1705,-0.08875,1.0885,-0.448,-1.1665,0.6405,0.158
KIAA1345,0.432666666666667,-0.181833333333333,-0.2195,0.541666666666667,-0.187166666666667,-0.263,-0.548,-0.292333333333333,-0.2725,-0.358666666666667,0.906333333333333,0.122166666666667,-0.329833333333333,-0.768166666666667,0.815333333333333,0.741666666666667
C1orf163,-0.2665,0.0945,-1.471,-0.9055,-0.714,0.047,-0.3005,-0.522,-1.439,-0.5555,-0.297,-1.1705,-0.51,0.2205,-1.0865,-1.106
TMED2,0.21875,0.39875,1.69475,0.71425,2.0675,0.832,0.737,0.78625,1.01925,0.51725,1.7925,1.10125,1.3525,0.22675,0.95525,1.5315
NMT2,-0.5475,-1.01,-0.4885,-0.906,-1.48583333333333,-0.863166666666667,-1.06433333333333,-1.589,-0.4845,-0.461333333333333,-1.524,-0.777166666666667,-1.51,-1.0395,-0.645333333333333,-0.644
SLC6A20,-0.389625,0.825,0.743714285714286,0.156125,1.213375,1.024375,2.110875,0.514375,2.70875,3.170875,-0.30425,1.33575,2.708375,-0.023,0.449375,-0.076
MGC5590,0.3525,0.384,0.2265,0.2655,0.3635,0.576,0.6525,0.3235,0.497,-0.036,0.5595,0.3995,0.566,-0.225,0.131,0.183
CREBZF,-0.178833333333333,-0.535833333333333,0.28,-0.259,0.567166666666667,-0.264,-0.0198333333333333,-0.726333333333333,0.567833333333333,-0.129833333333333,0.0273333333333333,-0.248666666666667,0.873666666666667,1.58066666666667,-0.0731666666666667,0.195833333333333
DAZ1,-0.148,2.41525,0.088,-0.42075,-0.0666666666666667,-0.4665,0.0285,-0.2195,-0.138,-0.403,-0.5315,-0.505,0.04075,-0.052,0.123,0.1635
PRPSAP1,-1.112,0.13,-0.26525,-0.87925,-0.0165,-0.331,-0.20175,0.9185,-0.2825,-0.60375,-0.14975,-0.65425,-0.06275,-0.8725,-0.32475,-0.735
UBD,2.00516666666667,2.03633333333333,2.61483333333333,1.91266666666667,2.15016666666667,3.35366666666667,3.64533333333333,1.46533333333333,2.60366666666667,1.41333333333333,4.30733333333333,3.7615,0.2755,1.75233333333333,3.37,1.59783333333333
OMA1,0.638,0.89,0.515,0.886,-0.162,-0.336,0.511,0.4855,1.407,0.459,0.98,0.8855,1.2165,0.742,0.2215,0.0815
ABLIM2,1.0275,0.70625,2.08425,1.0625,-0.704,-0.0285,-0.189,0.34625,0.853,-0.02475,-0.24925,-0.26225,-0.7485,-0.25925,0.84525,0.16225
TMEM63B,1.403,0.461,1.598,1.3005,0.647,0.471,0.5865,0.6075,0.4855,0.59,0.58,0.891,0.734,2.074,0.98,0.4035
ARFIP2,0.55875,0.11025,-0.03575,-0.289,1.04775,-0.1865,0.4435,-0.31225,-1.19775,-0.00775000000000001,0.134,0.097,-0.79325,-0.47175,0.2645,0.095
POLQ,-3.23875,-2.358625,-3.67175,-3.495875,-1.707125,-2.716625,-2.377125,-1.63625,-3.81025,-3.204125,-1.170375,-3.5755,-1.171625,-2.00875,-3.076875,-3.062625
MRPS30,-0.273,-1.02866666666667,-0.286166666666667,-0.922833333333333,-0.389333333333333,-1.07233333333333,-0.6905,-1.0385,-1.03383333333333,-0.707166666666667,-1.0925,-0.766333333333333,-0.625833333333333,-1.14283333333333,-0.848,-0.4935
OR2T11,0.55,0.1485,0.6875,0.724,0.237,0.15,0.364,0.205,0.7875,0.042,0.4895,0.47,0.6395,0.6285,0.1165,0.1685
TCEB3B,-0.0926666666666667,-0.0941666666666667,0.1032,-0.3172,1.66733333333333,0.077,0.0355,0.00866666666666666,-0.0205000000000001,0.2934,-0.3714,-0.00699999999999999,0.3726,0.0194,-0.2575,0.0733333333333333
GDPD1,0.2325,1.487,0.98275,0.1185,1.37725,1.408,1.283,1.25525,0.82175,0.445,2.072,1.645,0.46775,0.78325,-0.01775,0.074
KCTD9,-0.3217,-1.071,-0.147,0.3836,-1.2817,-0.3296,-0.9403,-0.8701,-0.4287,0.4714,-0.8138,0.4097,-0.8651,0.1033,-0.3813,-0.3326
NUDT3,0.8975,0.6015,0.93,-0.003,0.0125,0.5775,-0.08775,0.21825,0.68025,0.73125,0.6125,-0.00499999999999999,0.4925,0.98675,0.196,0.322
DFNA5,-2.71475,-0.88875,-1.411,-2.73125,-1.25425,-1.458,-1.48525,-1.53025,-1.58875,-2.4745,-2.23575,-1.9395,-0.701,-2.30925,-0.29975,0.32525
C14orf44,-0.71,-1.09825,-1.05225,-0.129,-0.842,0.70075,-0.689,-0.40525,-0.15825,-0.20425,-0.63925,-0.22975,-0.54225,-1.1455,-0.809,-0.47825
POLB,1.3015,0.01,0.1605,0.173625,-0.136125,-0.04325,-0.713375,-1.3005,0.92875,0.154875,-0.10275,1.05925,0.553875,0.641125,0.14975,-0.0815
SEC31A,0.6101,0.311,0.382,0.9408,-0.1333,0.6351,0.904,0.482,0.6655,1.2456,0.1651,0.1617,0.4773,1.2935,0.5845,1.0998
TAS2R14,-1.242,-0.1825,-0.2445,-1.047,0.418,-1.004,-1.1895,-0.688,-0.484,-0.6155,-0.493,-1.2545,-0.61,-0.636,-0.0295,-0.0085
H1F0,-0.488333333333333,1.57266666666667,0.0148333333333333,-0.0466666666666667,1.48416666666667,2.037,0.840333333333333,1.3305,1.41916666666667,-0.3685,1.7305,0.293666666666667,1.30366666666667,1.91,1.06233333333333,1.08133333333333
PRKCB1,-2.23183333333333,-1.22083333333333,-2.476,-1.33733333333333,-1.62333333333333,-1.18233333333333,-0.642666666666667,-1.59366666666667,-1.6065,-1.208,-2.68583333333333,-1.76683333333333,-0.619833333333333,-2.0515,-1.19933333333333,-1.78866666666667
TOR1B,-0.59225,-0.7355,-0.6705,-0.35525,-0.2985,-0.23875,-0.10425,0.1935,-0.58475,-0.7395,0.1655,-0.6815,0.209,-0.2615,0.31,0.2655
C2orf19,0.2525,-0.0685,-0.565,0.2895,0.348,-0.8735,0.4385,-0.1925,-0.0835,0.628,-0.1035,-0.6345,-0.1075,0.085,0.188,0.039
TMEM100,0.426166666666667,2.27333333333333,2.57366666666667,2.2315,0.147666666666667,0.235833333333333,2.84616666666667,-0.1995,0.788166666666667,2.73366666666667,-1.307,2.21783333333333,-2.02633333333333,3.08233333333333,1.62333333333333,0.205833333333333
CCDC142,-1.19075,-0.6255,-1.348,-1.49125,-0.298,-1.32525,-1.12125,-0.03725,-2.2905,-1.527,0.0515,-1.68475,-1.295,-0.73975,-1.8085,-1.545
CACNA2D3,0.648428571428571,-1.12792857142857,0.534,-0.365071428571429,-0.601428571428571,-2.22035714285714,-1.5535,-0.443285714285714,0.0475,-0.440714285714286,-2.12585714285714,-0.724285714285714,-1.66635714285714,-1.77642857142857,-0.605785714285714,0.143785714285714
ZNF429,-1.419875,-0.719625,-1.32325,-1.44975,0.43425,-0.769625,-1.50175,-0.03075,-1.108625,-0.28125,-0.278375,-0.630875,-1.788625,-1.578375,-0.8695,-0.57425
LYPD6,-2.06133333333333,-0.0896666666666667,-2.16483333333333,-2.56016666666667,-0.464166666666667,-1.53833333333333,-2.9775,-2.1255,0.3715,-2.21016666666667,-2.64316666666667,-2.3885,-2.55066666666667,-1.738,-1.27666666666667,-2.00516666666667
PRPF40A,-0.7805,0.176,-1.345,-0.808,0.0755,0.1135,-0.6455,-0.0215,-0.58,-0.503,0.146,-0.936,-0.4295,-0.718,-0.4875,-0.8575
SPESP1,-0.7075,1.56433333333333,-1.8658,0.549666666666667,2.1395,2.178,-1.43366666666667,-0.737666666666667,-1.975,-2.0395,2.45116666666667,-1.7565,2.17333333333333,-0.676666666666667,-1.227,-0.576
PDPN,-2.939625,-1.152375,0.3595,-1.942625,-1.6805,-1.439125,-0.955375,-0.378125,-0.33225,-0.02275,-1.971125,-1.90375,0.6515,0.852625,-1.47475,2.32825
IVNS1ABP,-0.531,-0.1696875,-0.8635625,-0.59525,0.1043125,0.1999375,-0.172125,-0.02825,-0.433375,-0.052,-0.9720625,-0.22325,0.30025,-0.190875,-0.1036875,0.2098125
SIGIRR,0.902,0.76375,-0.11625,0.78775,1.006,0.42125,0.61,0.419,1.04275,1.44725,-0.00249999999999999,0.80775,0.07775,0.2365,0.8665,0.0685
DUSP19,-0.95675,-0.463125,0.90425,0.30825,0.0825,0.95925,-0.763,-0.270625,0.736375,-0.731625,1.140125,0.408,-0.43025,-0.477625,-0.660125,0.243125
IL1RAPL2,0.2535,0.047,-0.063,-0.284,0.425,0.245,0.2135,0.118,0.332,0.5365,0.481,0.385,-0.1145,0.25,0.311,-0.1675
P4HA2,-0.88175,-0.495,0.814375,0.102625,-0.44125,-0.58525,-0.00237500000000001,0.432,-0.361875,0.454625,-0.94575,0.00937499999999999,1.352625,0.077,-0.33425,1.338
MOV10,-1.226,-0.7995,-1.894,-0.92,-1.26,-1.56175,0.43325,-0.36925,-1.7885,-0.71,-0.3545,-1.358,-0.118,-0.1925,-1.4425,-1.323
LOC729440,0.47175,-0.62425,-0.29525,0.02825,0.0545,-0.1045,-0.615,-0.0045,0.2945,-0.41475,-0.931,-0.576,-0.128,0.1455,-0.04325,-0.24375
LOC200383,-0.0465714285714286,0.971625,0.635375,0.784666666666667,0.568142857142857,0.245,1.018,0.252125,0.9195,-0.142,1.285625,0.58925,0.0487142857142857,-0.0665,1.407875,0.413375
MIXL1,-0.672166666666666,-0.535,-0.8305,-1.0585,-0.316666666666667,-0.766,-0.770666666666667,-0.73,-0.289,-0.925333333333333,-1.38616666666667,-1.18133333333333,-1.16633333333333,-0.569166666666666,-0.4355,-0.723166666666667
B3GNT8,3.726,3.2665,4.627,3.9465,4.027,3.1755,2.818,3.1955,4.193,4.091,1.127,4.2045,2.2505,4.498,3.5575,2.0915
CNR2,0.5945,0.314833333333333,0.458333333333333,1.56883333333333,0.649,0.723,1.2645,0.486166666666667,1.06033333333333,0.629833333333333,0.921166666666667,0.671666666666667,0.353833333333333,0.589833333333333,0.584333333333333,0.2395
OCIAD2,2.8525,1.876,3.24375,3.69325,3.31375,1.06475,3.5545,2.87075,3.88975,0.722,3.33625,2.69975,3.73225,3.2115,2.5165,3.1505
PLCG2,0.4035,1.65175,0.33175,1.55675,1.29175,1.86825,1.852,0.8405,1.521,1.569,0.0135,0.7555,1.40075,1.777,1.368,1.10125
HRH3,0.2059,0.0375,0.263,-0.0294,0.6229,0.411222222222222,-0.1847,0.1607,0.542375,0.1009,0.2316,0.4504,-0.0388,0.579,0.5188,0.02
ITGA2B,-0.188833333333333,-0.8335,0.354666666666667,-0.844333333333333,-0.557166666666667,1.90166666666667,-0.4035,-0.328,-0.106666666666667,-1.1285,-0.888,-0.734,-1.44716666666667,-0.122833333333333,-0.382,-0.5805
ZNF512,-0.93,0.427166666666667,-1.23333333333333,-1.505,0.455166666666667,-0.761333333333333,-0.321333333333333,0.153,-0.638333333333333,-0.209166666666667,-1.0965,0.0241666666666667,-0.284333333333333,-1.28533333333333,-0.3995,-0.212166666666667
CYP26C1,0.613,0.0755,-0.4765,0.0535,0.4705,-0.1705,0.038,0.283,0.557,0.0495,0.708,-0.072,-0.496,-0.004,0.284,0.4625
LYN,1.543875,1.13425,1.326,1.70775,0.772375,1.15875,2.532875,1.08,1.62275,1.39525,1.703125,1.38225,2.233,2.392375,1.03625,1.363125
TGFB3,1.65006666666667,0.828133333333333,0.572066666666667,1.5782,0.5936,1.4378,1.50046666666667,2.08006666666667,2.1724,2.15593333333333,1.07793333333333,1.5225,2.25386666666667,0.856266666666667,1.61886666666667,3.05913333333333
ELK1,-1.5959,-1.489,-1.3869,-1.8113,-0.5454,-1.0497,-0.8023,-1.4508,-1.1905,-1.9256,-0.7945,-1.1862,-0.6271,-1.3929,-0.673,-0.8257
ADAM33,0.365,-0.15425,0.221,0.26625,1.2235,0.25975,0.60375,0.04125,0.728,0.333,-0.217,0.04425,-0.44775,0.297,0.0845,0.0395
ZNF491,0.36,-0.3755,0.0415,-0.3365,0.219,0.01,-0.4995,0.574,-0.7865,-0.7525,-0.419,-0.031,-1.05,-1.3795,-0.046,0.414
MAPK6,-0.697333333333333,-0.04,-0.844833333333333,-1.08533333333333,1.7525,0.1515,-0.795,-1.18616666666667,-0.488333333333333,-1.53033333333333,0.489166666666667,-1.01116666666667,0.0591666666666667,-0.639166666666667,-0.418333333333333,-0.185666666666667
SFT2D3,0.274625,0.346375,0.421,0.04725,0.768,0.55275,0.610625,0.995125,0.704,0.402625,1.1555,0.54375,0.35025,-0.562625,0.12475,0.15975
INA,-2.4375,-3.04483333333333,-3.183,-2.751,-1.80916666666667,1.62466666666667,-2.9065,-2.496,-2.55433333333333,-2.74133333333333,-2.651,-2.871,-2.778,-2.409,-1.6605,-2.20583333333333
MCOLN1,-0.08325,0.16375,-0.2005,-1.1,-0.1355,0.43675,-0.459,-0.1515,-1.16475,-0.857,-0.213,0.2395,0.15975,-0.8695,-0.3825,-0.98925
NFIX,-0.2891,0.2805,-0.252,0.391,-1.6793,-0.7912,-0.812,-0.519,0.3231,0.7028,-1.5127,-0.3589,-1.5488,-1.1805,-0.3456,-0.5322
CLEC14A,5.35483333333333,5.25033333333333,5.573,6.27083333333333,6.07233333333333,5.12383333333333,6.00933333333333,4.86766666666667,5.54016666666667,5.69833333333333,5.09516666666667,5.588,5.31133333333333,4.04833333333333,5.26883333333333,4.6325
HIBCH,-0.321666666666667,0.533,0.943333333333333,0.109166666666667,0.366333333333333,0.433333333333333,-0.763166666666667,-0.336833333333333,0.6835,-0.6365,-0.279833333333333,-0.4655,-0.216,-1.15883333333333,0.234833333333333,-0.1965
TMPRSS5,-0.84725,-0.9975,-1.397,-1.18225,-1.434,-0.5435,-1.49475,-1.336,-1.48,-1.77525,1.437,-0.99075,-1.83575,-1.36125,-1.425,-1.248
DNMBP,-1.11875,0.01675,-1.25975,-0.78125,0.16175,-0.75225,0.128,0.51975,-0.62875,0.2175,0.72025,-0.68175,-0.30775,-1.51975,-0.4985,0.008
TAF1,-0.64175,-1.081,-0.9235,-0.213,-0.2745,-0.9305,-0.4255,-0.53775,-0.84,0.4875,-0.89725,-1.35125,-1.0095,-1.03675,-0.77,-1.35375
AP1G2,-0.639,-0.353,-0.841,-0.3765,-0.793833333333333,0.103,-0.379166666666667,-0.468666666666667,-0.718333333333333,0.251,-0.161833333333333,-0.398833333333333,-1.04,-0.0851666666666667,-0.771,-0.81
EFHB,1.54033333333333,-0.87,1.853,1.51466666666667,0.0583333333333333,1.157,1.06733333333333,0.722166666666667,2.52283333333333,1.48333333333333,1.576,1.95566666666667,-0.6762,1.01,3.6685,0.600833333333333
CCDC82,-0.291916666666667,0.601,-0.266,-0.01825,-0.211,0.190666666666667,-0.1645,-0.819916666666667,0.0205833333333333,0.25275,1.12025,0.0736666666666667,0.707583333333333,0.171666666666667,-0.02875,0.5545
LHFPL1,-1.419,-0.212,0.188,-1.8125,-0.0625,-0.6155,-1.091,-0.9785,-0.3415,-1.0755,-0.9725,-1.515,-1.788,-1.024,-0.612,0.4305
ZNF313,-1.09407142857143,0.157928571428571,-0.905785714285714,-0.160857142857143,0.400928571428572,0.0234285714285714,-0.679071428571429,-0.642071428571429,0.0346428571428571,-0.554928571428572,-0.394285714285714,-0.7965,-0.330428571428571,-0.759571428571429,-0.309714285714286,-0.116285714285714
C19orf12,0.428166666666667,0.141166666666667,0.1655,-0.349333333333333,1.0965,1.11716666666667,0.453,0.473333333333333,0.441,0.0121666666666667,0.280666666666667,0.111166666666667,2.9695,0.559833333333333,0.471333333333333,0.769
C1orf62,0.11375,0.46575,0.86825,0.03525,0.2025,-0.2345,0.234,-0.01225,-0.0755,0.275333333333333,0.02425,0.074,0.529,0.4985,-0.454,0.08825
AEBP1,-0.44175,0.02775,-0.2405,-0.375875,0.38075,0.46925,0.543875,1.412875,0.5965,0.977875,-1.073875,0.635125,0.837375,-0.378625,0.514375,1.993375
SMG5,-0.11175,0.1375,-1.45275,-0.474,0.2555,-0.05825,-0.16825,0.21875,-1.2425,-0.0925,0.209,-0.91675,-0.07425,0.0615,-0.34275,-0.92475
NCAPD2,-2.41233333333333,-2.15566666666667,-2.96283333333333,-2.6885,-0.508333333333333,-2.54916666666667,-2.80583333333333,-1.318,-2.85216666666667,-2.7795,-1.54966666666667,-2.54983333333333,-1.54133333333333,-2.31233333333333,-2.94883333333333,-2.51733333333333
TMEM24,-0.644,-0.11625,-0.5915,-0.31275,-0.675,-0.3255,-0.127,-0.80475,-0.9845,0.04175,0.33,-0.5485,-0.1505,-0.96525,-0.03625,-0.44575
RPL18,-0.0336666666666667,-0.4805,-0.618333333333333,-0.932166666666667,-0.151833333333333,0.0313333333333333,-0.275833333333333,-0.322333333333333,-0.437166666666667,-0.2975,-0.985166666666667,0.3675,-1.296,-0.8385,-0.0888333333333333,-0.672
TMEM177,0.11325,0.21025,-0.0225,-0.131,-0.07825,0.83825,-0.09825,0.16025,0.298,-0.8225,0.54925,-0.33625,-0.56025,1.501,-0.29025,-0.21425
C1D,0.698833333333333,1.65216666666667,1.33566666666667,0.0931666666666667,1.21966666666667,-0.174333333333333,-0.363333333333333,-0.0805,0.904166666666667,-0.574166666666667,1.3495,0.601333333333333,1.16983333333333,0.731666666666667,1.317,-0.162666666666667
NIT1,0.494625,0.58,0.77375,0.646875,-0.00937499999999999,0.09875,0.460875,0.017,0.55525,0.099625,0.464375,0.0815,0.106375,0.799875,0.35975,0.423125
C12orf51,-0.026,0.2915,-0.0795,0.503,0.7805,0.4155,0.092,1.166,-0.3195,0.855,0.6625,0.177,-0.295,0.3995,-0.6855,-0.532
LRRC59,-0.4495,-0.922166666666667,-0.824166666666667,-0.809166666666667,0.731833333333333,-0.863333333333333,-0.422333333333333,-0.7685,-0.689833333333333,-1.0625,-0.0365,-1.24333333333333,-0.5965,-0.4325,-0.915833333333333,-0.800833333333333
WDR22,-0.0679999999999999,0.654833333333333,0.243,0.214333333333333,0.0699166666666667,0.90075,0.34075,0.160166666666667,0.0265833333333333,0.261166666666667,0.215166666666667,0.451333333333333,-0.139583333333333,-0.36075,0.4215,0.197666666666667
PANX2,1.0272,-0.5352,0.1845,0.6201,0.6233,0.8207,0.5256,-0.2861,0.0962,-0.1689,0.1706,-0.7309,-0.4189,0.2676,0.1159,-0.425
GPR172A,-0.7525,-0.4275,0.10975,-0.28875,-0.32375,-0.2415,0.04075,-0.61025,-0.63375,-0.62175,0.58,-1.32675,-0.371,-0.22875,-0.633,-0.5185
GSTM3,-1.23638461538462,3.59092307692308,1.48538461538462,1.21869230769231,-0.488692307692308,0.848692307692308,-1.85015384615385,-1.27223076923077,0.287846153846154,0.589692307692308,0.494692307692308,-0.444076923076923,-0.746153846153846,-0.834846153846154,-0.615,-0.341307692307692
SERAC1,-1.0525,1.11133333333333,1.283,-0.432833333333333,1.80466666666667,0.5865,0.0715,-0.288666666666667,-0.1015,-1.63583333333333,1.86733333333333,-0.307166666666667,0.9635,-0.975666666666667,-0.0213333333333333,0.240166666666667
FGD5,-0.219166666666667,0.730666666666667,-0.0643333333333333,0.518,-0.32,-0.153166666666667,1.281,0.868666666666667,0.436333333333333,0.588833333333333,-0.4735,-0.232333333333333,1.68716666666667,0.726,0.451333333333333,1.041
RAB13,0.029,0.6015,-0.147666666666667,0.366666666666667,-0.613166666666667,0.503,0.0315,-0.3285,0.041,-0.7035,-0.000666666666666677,0.281166666666667,0.4715,-1.20983333333333,0.0558333333333333,0.396166666666667
C12orf53,-0.7708,-1.2087,-0.9135,-1.2081,-1.1267,-1.173,-1.0098,-0.8938,-0.6689,-0.9566,-1.4618,-0.8692,-1.0374,-0.4314,-0.8061,0.0246
FAM3A,-0.651625,0.23975,0.174625,-0.473,-0.051125,-1.0755,-0.440875,-0.68225,0.3845,-0.24025,0.61125,-0.356875,-0.381125,0.288,-1.00125,-0.957375
FLJ34047,-1.31225,-1.752,-1.69233333333333,-2.383,-1.9315,-1.51725,-1.959,-1.265,-1.403,-1.60725,0.151,-1.32575,-1.75825,-1.49375,-0.82525,-0.619
MGC26597,-0.304666666666667,-0.528,-0.3595,-0.3272,0.0908333333333333,0.6806,-0.19,-0.0825,-0.778,-1.40366666666667,0.0148333333333333,-0.6188,-0.444166666666667,-0.732333333333333,0.1634,-0.615166666666667
RHBDL2,1.0566,3.0245,3.7293,3.4578,0.2757,2.44,3.3929,1.2526,4.2244,2.2268,3.8959,-0.461,3.713,3.3236,2.1229,1.9655
COL17A1,-0.7865,-2.6389,2.2678,1.517,-2.7126,-2.6844,-0.3365,-2.5148,-0.1176,0.4641,-2.3908,-0.8505,0.9302,-1.6137,-0.7915,3.6265
C6orf118,0.5085,-0.112166666666667,1.04983333333333,1.58683333333333,0.372333333333333,0.3486,0.604833333333333,-0.137666666666667,1.7995,0.245166666666667,2.27833333333333,0.130666666666667,0.12875,0.643833333333333,3.41216666666667,0.664166666666667
SYNPR,-0.293666666666667,-0.45725,-0.295,-0.515,-0.50775,-0.800333333333333,-0.63575,-0.198,-0.179666666666667,-0.296666666666667,-1.2905,-0.915333333333333,-1.094,-0.183,-0.06925,-0.43875
TUBG2,-1.415,-1.0815,-1.0785,-1.616,-0.886,-1.5315,-1.397,-1.1745,-1.525,-1.6525,-0.202,-1.6295,-1.087,-1.166,-1.626,-1.7435
GBP3,1.54033333333333,-1.142,2.4755,-0.511166666666667,0.338,0.201333333333333,2.857,1.71483333333333,0.311833333333333,1.50616666666667,2.56716666666667,2.43783333333333,3.39566666666667,2.81666666666667,-0.9825,-0.389333333333333
C13orf3,-2.823125,-1.900875,-2.983625,-3.448625,-2.17625,-1.860375,-2.29475,-1.931375,-2.590625,-2.8565,-1.275875,-3.52675,-0.996875,-1.8725,-2.588625,-2.7315
SFRS18,-1.735875,-0.5095,-1.717125,-1.256625,-1.33575,-0.787625,-1.303375,-0.827875,-1.98875,-1.032875,-1.951625,-1.44825,-0.9655,-1.7025,-0.70075,-0.83625
C7orf31,-0.154833333333333,-0.00216666666666666,-0.2952,0.314,0.0213333333333333,0.355833333333333,0.011,0.34,0.3475,1.16416666666667,0.2025,0.108833333333333,-0.8598,-0.174333333333333,-0.290333333333333,0.257333333333333
SLC29A2,0.088,-0.276,0.05375,-0.41425,-0.16575,-0.17225,-0.1515,-0.39325,0.00975000000000001,-0.7185,-0.01225,-0.30075,-0.6905,-0.0295,-0.1015,-0.38425
RAD51L3,-0.349,-0.594583333333333,-0.0641666666666667,-0.779333333333333,0.08425,-0.4995,-0.910833333333333,-0.42,-0.159333333333333,-0.540166666666667,-0.305833333333333,-0.2465,-0.486333333333333,-0.385,-0.464166666666667,-0.25175
LCN6,0.7785,0.53125,1.52875,2.30025,0.41825,0.4975,0.6875,0.32325,2.9355,0.816,0.6205,1.38875,0.10325,0.6405,0.41375,0.1685
ORAI2,-1.519625,-1.233625,-1.778125,-0.799125,-0.7135,-1.18725,-0.2125,-1.44375,-1.373,-0.62875,-1.024125,-1.74425,0.18125,-1.059,-1.19425,-1.172625
C9orf68,1.9135,1.717,3.24925,2.38875,0.78,0.68525,2.231,1.95325,2.675,2.342,1.02225,4.798,3.1675,1.044,2.161,1.93175
